Program ID,Source Filename,Screen Shot,Description,Last Update,Version,Author,Lines,Subroutines,Challenge
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BrowserLD01.sb,,Small Browser with LitDev Extension,2015-05-25,0.1,Nonki Takahashi,55,OnButtonClicked OnBrowserPageLoaded,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BubbleSort.sb,,Bubble sort with link,,,,122,ShowHelp ShowData SortA SortD Comp,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Button.sb,,,,,,94,AddButton OnMouseDown DoNothing GetPosition DrawButton,
XHJ559,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BVector.sb,,Benchmark of BVector,,,Nonki Takahashi,280,BM_toString BV_abs BV_and BV_cross BV_diff BV_dot BV_eq BV_getValue BV_mul BV_ne BV_not BV_or BV_toString BV_xor Start Stop,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BWTicTacToe.sb,,BW Tic-tactoe,,,,273,CalcAndWriteProduct CalcAndWriteCrossProduct CalcAndWriteDotProduct CreateRandomMatrix CreateRandomMatrix2 WriteMatrix WriteScalar MatrixProduct CrossProduct DotProduct CheckType CheckType3 DumpMatrix,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Capture.sb,,,,,,28,,
TJB764,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\CartesianPolar.sb,,Cartesian and Polar Coordinates,2016-02-20,0.1,Nonki Takahashi,327,DrawGrid FillFan FillTriangle Form OnMouseDown Math_CartesianToPolar Vector_Calc Vector_Abs Vector_Add Vector_Comp Vector_Draw Vector_GetOp Vector_Mul Vector_Print Vector_Rotate Vector_Set Vector_Sub,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\CharacterCode.sb,,Character Code,,,,29,OnButtonClicked Dec2Hex,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\CharCode.sb,,,,,,7,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Chime.sb,,,,,,7,OnButtonClicked,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ColorTable.sb,,,,,,206,GetLightness Hex2Dec InitColorTable,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ColorWheel.sb,,Color Wheel,,,,157,Form OnButtonClicked Erase OnMouseDown OnMouseMove DrawColorWheel GetColor Math_CartesianToPolar Color_HSLtoRGB Color_Value,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Condition.sb,,,,,,15,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\CroFlagKLT327.sb,,,,,,73,see,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\DesktopSize.sb,,,,,,13,OnTick,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\DictianryTest.sb,,,,,,15,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Dictionary.sb,,Dictionary,,v0.1,,25,OnButtonClicked,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\DigitalCanvas.sb,,WINDOW,,,,5112,mousedown mousemove mouseup keydown,
SZH845,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\dirtest.sb,,Directory Test,,,Nonki Takahashi,25,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Draw.sb,,,,,,46,OnMouseDown OnMouseUp OnMouseMove SavePos DrawDots,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Draw01.sb,,Draw,2012-08-24,0.1,24 T,231,OnButtonClicked Error File_Close File_Input File_Open,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\DrawFreeLine01.sb,,Draw Free Line,,,,79,FloodFill DoNothing OnMouseMove OnMouseDown OnMouseUp DrawLine,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\DrawLeaf.sb,,Draw Leaf,,,,116,Init OnButtonClicked EraseLeaves DrawLeaves Form AddLeaf DrawGrid,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Dump01.sb,,Dump,,v0.1,,84,InitDec2Hex Dec2Hex,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Dump02.sb,,Dump  - File dump,,v0.2,,82,InitDec2Hex Dec2Hex,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\EasyClock.sb,,,,,,8,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\FileObjects.sb,,,,,,15,,
PWW374,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\FlickrSample.sb,,Flicr Sample,,,,46,OnMouseDown,
RCH738,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\FloatingPoint.sb,,Floating-point viewer with segment LED,,,Nonki Takahashi,182,OnTextTyped InitLED DrawLED DrawNum DrawFP Num2FP,
FHL579,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Fonts2.sb,,Recommended Fonts,2013-12-24,0.1,Nonki Takahashi,39,Repaint,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\fptest.sb,,fptest - File Path Test,,0.21,Nonki Takahashi,18,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\FrameWidth.sb,,,,,,22,Check,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\game.sb,,,,,,81,Choose,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Gavatated.sb,,jhb286 - Gavatated,,,,267,Secondchange KeyUp KeyDown Moveandrotate Checkkeys Fire,
RPZ143-2,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GetCharFromCode.sb,,Get Character from Unicode,,,Nonki Takahashi,94,OnButtonClicked Form GetCharFromUnicode Math_Hex2Dec Math_Dec2Hex,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GetPixelTest02.sb,,GetPixel test - Modified by Nonki Takahashi,,,,206,OnMouseMove,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GetPixelText.sb,,GetPixel test - Modified by Nonki Takahashi,,,,201,OnMouseMove,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GetStandardColor.sb,,,,,,41,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GoArt.sb,,Original by Kenneth,,,,34,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GoogleTranslate.sb,,,,,,28,EncodeTextToUrl,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GraphicsWindow.sb,,,,,,47,OnTick MoveWindow,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\GraphPhysics.sb,,,,,,140,Loop OnPressed OnMove OnReleased OnTick Setup PP_PhysicalPoint PP_Loop PP_SetAcceleration PP_SetAccelerationByPolar,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\HelloWorld.sb,,,,,,1,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Hourse.sb,,Hourse,,0.3,Nonki Takahashi,177,FillTriangle FillTriangle2 FillCircle FillCircle2 DrawTriangles,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Ice.sb,,Ice,,0.1,Nonki Takahashi,65,DrawIce,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Ice02.sb,,Ice,,0.2,Nonki Takahashi,163,FallIce AddIce,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\icontest.sb,,,,,,8,OnMouseMove,
CST860,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Keytest.sb,,,,,,106,KB_Init KB_InKey KB_OnKeyDown KB_OnKeyUp,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\KinectWindowTest.sb,,Kinect Window Test,,,,52,OnButtonClicked,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Kuku.sb,,Kuku (99) - Japanese 1 to 9 Times Table,,,,17,,
PKS847,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\LastChrome.sb,,Last Chrome 41.0.2272.118 m,,,,53,DrawGooglePie,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\LDH635.sb,,Indent,,,,107,DoIndent CatalogSub SkipLeadSpace FileSlurp,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\LeapYearCheckerByEd.sb,,Determines if a given year is a leap year,,,,16,,
QRX067,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\LetItBe.sb,,Let It Be,,,,424,CopyNote Init OnTick Play,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\LiniarRound.sb,,,,,,121,Scale Linear Round,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Machine.sb,,,,,,56,AnalysePhrase Permutation,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\MatrixCrossProduct.sb,,Product of Matrix and vector,,,,256,CalcAndWriteProduct CalcAndWriteCrossProduct CalcAndWriteDotProduct CreateRandomMatrix WriteMatrix WriteScalar MatrixProduct CrossProduct DotProduct CheckType CheckType3 DumpMatrix,
NRS907-3,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Medals05.sb,,Medals,2016-01-25,0.5,Nonki Takahashi,761,OnButtonClicked DrawMedals DrawText FillTriangle Form GetTextWidth ShowSVG HideSVG RoundParam Color_ColorToRGB Color_HSLtoRGB Color_Value Color_RGBtoHSL Math_CartesianToPolar Math_Hex2Dec SB_ColorWorkaround SB_RotateWorkaround SB_Workaround Shapes_Init Shapes_Add Shapes_CalcRotatePos Shapes_CalcWidthAndHeight Shapes_Move Shapes_Remove Shapes_Rotate Text_GetWidthInPx,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\MenuHoverSample.sb,,Menu Hover Sample,,,,61,AddMenuItem OnMouseMove,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\MenuHoverSample2.sb,,Menu Hover Sample,,,,64,AddMenuItem OnMouseMove,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Millisecond.sb,,Benchmark of Euler,,,Nonki Takahashi,30,Start Stop Millisecond,
PBG119-4,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Monkey2016.sb,,Monkey 2016,,,Nonki Takahashi,51,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Network.sb,,Network.sb,,,1,501,ShowNetwork ConvertWeight2BrushColor ConvertOut2BrushColor ForwardPropagation BackPropagation TestMode ReadFile Scanf PrintWeights Initialize,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\NetworkSample.sb,,,,,,8,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\NHX824-0.sb,,,,,,1073,muu cang mww mdd findvar rmm hshow Main sbscan nset drwgrd xplain OnButtonClicked DoLine dorepl fWriteLn xpline Init Opening Math_ATan2,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\NRW874_Maze.sb,,Maze  Maker,,,,141,mouseDownEvent drawGrid drawCell,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\P01数字認識.sb,,,,,,140,Title ReadData Recognize,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Parser.sb,,sBuf = File.ReadContens("filename.txt"),,,,93,ParseTitle ParseWidth ParseHeight ParseID ParseGivenProperty LexChar,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\PencilAnimation.sb,,やすださん、Small Basicでは描いた画像をどこかに取っておくということはできません。,,,,50,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Persley.sb,,Original www.calormen.com/jslogo/# tree,,,,33,Persley,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\pgm1.sb,,pgm1.sb,,,,6,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\PhysicalPoint.sb,,,,,,127,Setup Loop OnPressed OnMove OnReleased PP_Main PP_OnTick PP_OnPressed PP_OnReleased PP_OnMove PP_PhysicalPoint PP_Loop PP_SetAcceleration PP_SetAccelerationByPolar,
ZFJ443,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\PhysicsPendulum.sb,,Inverted Pendulum with Physics Engine Framework,2016-02-14,,,100,Control Engine_Init OnKeyDown,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Polygon.sb,,Regular polygon,,,,37,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\PP.sb,,PP - Pre Processor to Convert #define,,,kahashi,81,ParseArgs ParseLine GetSpace GetFunctionName GetParams,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\PresetSound.sb,,,,,,4,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Radiation.sb,,,,,,26,DrawRadialLines,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RandomColorCircles.sb,,Random Color Circles,,,,76,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RandomDrawing.sb,,,,,,83,OnTick DrawLine GetRandomColor ShowTimer,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Ratio.sb,,Ratio,,,Nonki Takahashi,64,DrawTriangle,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RaytracerRed.sb,,Small Basic Raytracer,,,,362,Init OnKeyUp LoadScene RandomScene Preview DetermineIntersection DotProduct Normalise,
HMK327,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RecommendedFonts02.sb,,Recommended Fonts,2013-12-24,0.2,Nonki Takahashi,41,Repaint,
FHL579-0,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RecommendedFonts03.sb,,Recommended Fonts,2013-12-24,0.3,Nonki Takahashi,56,OnTextTyped Repaint,
FHL579-1,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RecommendedFonts04.sb,,Recommended Fonts,2013-12-24,0.4,Nonki Takahashi,56,OnTextTyped Repaint,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Reference01.sb,,Small Basic Rererence,2012-07-15,0.1,Nonki Takahashi,304,GetArgs GetMember GetSort GetToken IsUpper ReadLine ShowMembers ShowSorts,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RegularTriangle.sb,,,,,,27,OnTick,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RobotAnime01.sb,,Robot Animation,,0.1,Nonki Takahashi,173,DrawGrid Shapes_Init SB_Workaround Shapes_Add Shapes_CalcWidthAndHeight,
SRG635,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RoseOfWinds.sb,,'' Rose of Winds,,,,88,drww,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\RQM981.sb,,,,,,26,Button,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Ruby.sb,,,,,,37,DrawDia,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\sbppv01.sb,,Small Basic Published Program Viewer,2012-07-14,0.1,Nonki Takahashi,82,GenerateID GetCodeList GetFirstLine,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\sendmail.sb,,以下のメールは送信できない。J:COMが POP after SMTPを採用している,,,,18,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\sendmail2.sb,,以下のメールは送信できる。niftyメール,,,,20,,
XFZ657-15,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Shapes1_5b.sb,,Shapes,2013-03-30,1.5b,Nonki Takahashi,2465,CalcDetectBorder CalcPinchPos CalcVertexes DeleteSelectedShape DetectClickedObject DoMenu DoObject DoPinch DoShape DrawMenu DrawMenuItem ItemSelect NormalizePos ReadShapes RegisterShapeData RegisterShapeMetrics RegisterShapeStyle ShapeSelect WaitToClick WaitToReleaseM MoveShape WaitToReleaseR WaitToReleaseS WriteShapes Color_ColorToRGB Color_HSLtoRGB Color_RGBtoHSL Color_Value CS_AddColorToPalette CS_AdjustSlider CS_DoObject CS_DoPalette CS_DoSlider CS_DrawColorRect CS_DrawPalette CS_GetColorFromSlider CS_Init CS_DumpSlider CS_InitPalette CS_RemovePalette CS_RemoveSliders CS_SearchClickedObject CS_SetColorToSlider CS_ShowNewColor CS_ShowPopup CS_OnButtonClicked File_Open File_OnTextTyped File_Save File_OnButtonClicked KB_FlushFIFO KB_InKey KB_Init KB_OnKeyDown KB_OnKeyUp Math_CartesianToPolar Math_Hex2Dec Mouse_Init Mouse_SetHandler Mouse_OnDown Mouse_DoNothing Mouse_OnMove Mouse_OnTick Mouse_OnUp SB_AppendSub SB_RotateWorkaround SB_Workaround Scissors_Init Shapes_Add Shapes_CalcWidthAndHeight Shapes_CalcRotatePos Shapes_Move Shapes_Remove Shapes_Rotate Slider_Add Slider_CallBack Slider_GetLevel Slider_GetMouseLevel Slider_WaitToRelease Slider_Remove Slider_SetLevel,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ShotNote.sb,,,,,,73,DrawMarks DrawGrid,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ShowDefault.sb,,ShowDefault.smallbasic,,,,8,,
SMM526,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ShowDefault02.sb,,Show Default Properties of GraphicsWindow,,,,35,DrawText,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ShowScreenSize.sb,,Show Screen Size,,,,26,OnTick,
FHV760,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Simon.sb,,Simon,2013-12-05,0.1a,Nonki Takahashi,69,DrawBody DrawMask DrawGrid,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\SimpleBasic.sb,,SimpleBasic,2012-06-29,0.1,Nonki Takahashi,301,Ruler_Add Ruler_Loop Ruler_OnMouseDown Ruler_OnMouseUp Ruler_OnMouseMove Ruler_DoNothing Ruler_Move Ruler_Rotate InitSimpleBasic DumpGraphicsProperties Scroll SetColor SetFont WriteLine Write,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\simulation.sb,,,,,,38,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\sin.sb,,たのしいマイコン教室より,,,,8,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\SingleNL.sb,,Remove Null Line,,,Nonki Takahashi,24,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\SmallBasicImage.sb,,,,,,26,OnTextTyped,
JMS284,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Soccer.sb,,Soccer World Cup,2014-06-18,0.1a,Nonki Takahashi,172,DoNothing OnMouseMove OnTick Math_CalcJK Math_CalcTriangleProperties Math_CartesianToPolar Math_PolarToCartesian,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\SP7_PI.sb,,SP7,,,,202,Randomize0 Randomize Randomize2 Randomize3 Randomize4 Debug1 Debug2 InitPRnd PRnd RandomizeP,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Special.sb,,special characters,,,,10,,
VST105,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Spiral.sb,,Original code by George Birbilis,,,,20,Spiral,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Submarine.sb,,Submarine Game - 潜水艦ゲーム,,,,57,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Submarine2.sb,,Submarine Game,,,,56,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\SubText.sb,,,,,,16,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Sun.sb,,,,,,33,,
QZS270,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Symbols.sb,,Webdings / Wingdings font symbols (not Unicode) and Unicode Miscellaneous Symbols,,,,91,InitSuites Math_Hex2Dec,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ten.sb,,,,,,14,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TenDigits.sb,,,,,,12,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TenDigitsTest.sb,,,,,,2,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TestCartesianToPolar.sb,,Math_CartesianToPolar Test Program,,,,106,OnMouseMove DrawGrid Math_PolarToCartesian Math_CartesianToPolar,
SKW078,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TestProperty.sb,,Bug report - Graphics window property sometimes be broken.,,,,21,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TestSqrt.sb,,,,,,5,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TestTextObjects.sb,,,,,,31,InputData TestTextObject,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TextSample.sb,,,,,,25,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TextWindowProperties.sb,,,,,,34,GetProperties ShowProperties,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TextWindowSaver01.sb,,TextWindow Saver,2014-01-15,0.1,Nonki Takahashi,116,Init CreateHeader End SetForegroundColor SetBackgroundColor Clear Write WriteLine CreateFilePath AddFilePath,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TicTacToe.sb,,TicTacToe,,,,1234,ShowStage InitStage,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TicTacToe2.sb,,TicTacToe - step 1,,,,6387,CheckSymetric CompareBoard GetVerticalSymetricBoard GetDownSymetricBoard GetRightSymetricBoard GetLeftSymetricBoard GetHorizontalSymetricBoard GetUpSymetricBoard GetTurnSymetricBoard CheckDouble CopyBoard GetBoardFromStage ShowStage InitStage,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TicTacToeMIX.sb,,TicTacToe MIX,,,,559,Human ShowPointer HidePointer GetPosition Record ShowRecord ShowPutList SavePutList RestorePutList SaveBoard RestoreBoard WorkOut Random RandomX RunAndStop ShowResult CheckGameEnd GetPutList ShowBoard ClearBoard,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TicTacToeRvsM.sb,,TicTacToe RANDOM vs MATCHBOX,,,,1342,CheckGameEnd GetPutList ShowBoard ShowStage InitStage,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TicTacToeRvsMC.sb,,TicTacToe RANDOM vs MONTECARLO,,,,518,Record ShowRecord ShowPutList SavePutList RestorePutList SaveBoard RestoreBoard WorkOut Random RunAndStop ShowRunAndStop ShowResult CheckGameEnd GetPutList ShowBoard ClearBoard,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TicTacToeRvsR.sb,,TicTacToe RANDOM vs RANDOM,,,,174,ShowResult CheckGameEnd GetPutList ShowBoard ClearBoard,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TicTacToeRvsRS.sb,,TicTacToe RANDOM vs RUNANDSTOP,,,,258,RunAndStop ShowResult CheckGameEnd GetPutList ShowBoard ClearBoard,
JLF545-1,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Time-Velocity Graph.sb,,Time-Velocity Graph,2015-07-26,0.3,Nonki Takahashi,147,Ft ConvertTVtoXY DrawGrid DrawGridAndValue,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TimerSample11.sb,,,,,,22,OnTick DoSomething OnTextTyped,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Triangle.sb,,Triangle,2014-06-17,0.1,Nonki Takahashi,266,DrawAngles DrawCoOrdinates DrawEdges DrawGrid DrawPerpendicular DrawVertices OnKeyDown OnMouseDown OnMouseMove OnMouseUp Math_CartesianToPolar Math_PolarToCartesian,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Triangle02.sb,,Triangle,2014-06-17,0.2,Nonki Takahashi,286,CalcTriangleProperties DrawAngles DrawCoOrdinates DrawEdges DrawGrid DrawPerpendicular DrawVertices OnKeyDown OnMouseDown OnMouseMove OnMouseUp Math_CartesianToPolar Math_PolarToCartesian,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Triangle03.sb,,Triangle Properties,2014-06-17,0.3,Nonki Takahashi,322,AdjustVertex DragVertex DrawAngles DrawCo_ordinates DrawEdges DrawGrid DrawPerpendicular DrawVertices MoveVertex OnKeyDown OnMouseDown OnMouseMove OnMouseUp PickVertex RedrawTriangle Math_CalcJK Math_CalcTriangleProperties Math_CartesianToPolar Math_PolarToCartesian,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\triangle_sample.sb,,,,,,37,DrawVertices DrawCross,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TurtleAnime.sb,,Turtle Test,,,,52,OnTick,
QZN342-3,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TurtleDodger05b.sb,,Turtle Dodger,2014-04-17,0.5b,Nonki Takahashi,185,Closing Opening Ready Game Init OnTick ScrollObject AddObject OnKeyDown,
RBN002-0,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TurtleFlash.sb,,Turtle Flash,,,Nonki Takahashi,68,DrawLine,
CHZ459,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TurtleRandomDrawing.sb,,Turtle Random Drawing,,,Nonki Takahashi,36,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\turtletest.sb,,,,,,3,,
JLF545-0,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\TVGraph.sb,,Time-Velocity Graph,2015-07-26,0.2,Nonki Takahashi,147,Ft ConvertTVtoXY DrawGrid DrawGridAndValue,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Type.sb,,,,,,5,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\UlamSpiral.sb,,Ulam Spiral,,,,89,NumToPos GetPrime FindNextPrime,
TLP922,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\variablecode.sb,,'' Code Test,,,,18,Δ2Hex,
